leiden_res1,Cycling T&NK,ILC3,MAIT,NK_CD16+,NK_CD56bright_CD16-,T_CD4/CD8,Teffector/EM_CD4,Tem/emra_CD8,Tfh,Tgd_CRTAM+,Tnaive/CM_CD4,Tnaive/CM_CD4_activated,Tnaive/CM_CD8,Tregs,Trm/em_CD8,Trm_Tgd,Trm_Th1/Th17,Trm_gut_CD8
0,0.03762935089369708,0.038109756097560975,0.5555784697875851,0.6592686125006071,0.6725454953942934,0.1054874800213106,0.005938899793648397,0.5329865863673693,0.02170927875498594,0.8364605543710021,0.00017717407352724052,0.0010672358591248667,0.006665812075374952,0.06761096928271432,0.7207669244121824,0.682445186583418,0.29467668799304303,0.6698538343978996
1,0.012699905926622766,0.27210365853658536,0.16085790884718498,0.04511679860133068,0.05875084250730173,0.6494405966968567,0.8012481755498515,0.2378866684916507,0.8943961289478847,0.08251599147121536,0.7668389192381515,0.9311632870864461,0.7970772977823356,0.7939553652309973,0.2099573930882121,0.04138231450559024,0.2859804956829617,0.1257494415925389
2,0.0070555032925682035,0.028963414634146343,0.018354299855640337,0.011704142586566947,0.010896427769040665,0.07760610903924703,0.1317127183048971,0.038461538461538464,0.02170927875498594,0.0010660980810234541,0.21352428761257936,0.05522945570971185,0.17792590693500834,0.07930494935353702,0.011125138077954868,0.0026136198635109626,0.010311199453382198,0.0028998001489086564
3,0.0,0.5701219512195121,0.11198185192823262,0.0,0.0008986744551786115,0.005150062155922571,0.00417736171926116,0.0005474952094169176,0.022428562087229452,0.00021321961620469082,2.9529012254540086e-05,0.0010672358591248667,0.0,0.01556452277032035,7.890168849613381e-05,0.00682445186583418,0.1395117709174483,0.005446921901328422
4,0.012229539040451553,0.05030487804878049,0.06207465456795216,0.0657083191685688,0.07312963379015952,0.045285029302077784,0.05058130756454779,0.0335340815767862,0.03504871509841104,0.037739872068230276,0.017865052413996753,0.010672358591248666,0.009101397256761954,0.029811413983364902,0.01672715796118037,0.2079279802526499,0.17547673768557054,0.11418942748540303
5,0.5244590780809031,0.0,0.0,9.712981399640619e-05,0.00011233430689732644,0.0,5.032965926820676e-05,0.0001368738023542294,0.0,0.0,2.9529012254540086e-05,0.0,0.0,0.00024705591698921187,0.0,0.0001452011035283868,0.0,0.0
6,0.0,0.0,0.0,0.0,0.00033700292069197934,0.0,5.032965926820676e-05,0.0002737476047084588,0.0,0.00042643923240938164,5.905802450908017e-05,0.0,0.0,0.0001647039446594746,7.890168849613381e-05,0.0001452011035283868,0.0,7.837297699753124e-05
7,0.03527751646284102,0.014481707317073171,0.07547948030521758,0.2084405808362877,0.16299707930802068,0.057183448765760966,0.0012079118224369622,0.1396797153024911,0.0003269469692015955,0.0396588486140725,5.905802450908017e-05,0.0,0.005640302525317267,0.0014823355019352713,0.03471674293829888,0.043124727747930885,0.018075656873097708,0.02891962851208903
8,0.005644402634054563,0.020579268292682928,0.006599298824499897,0.0050021854208149195,0.00853740732419681,0.043153969099627064,0.003472746489506266,0.006022447303586094,0.0009808409076047864,0.0008528784648187633,0.0009744574043998228,0.0005336179295624333,0.002691962568901423,0.005929342007741085,0.0030771658513492187,0.0010164077246987077,0.035343810174545,0.0012147811434617343
9,0.0014111006585136407,0.003048780487804878,0.0028871932357187047,0.001456947209946093,0.00044933722758930576,0.013141537915112769,0.0007549448890231014,0.0026690391459074734,0.003400248479696593,0.0008528784648187633,0.00035434814705448105,0.00026680896478121667,0.0006409434687860531,0.004035246644157128,0.0023670506548840145,0.010309278350515464,0.03621342940555314,0.05082487558289902
10,0.35983066792097834,0.0007621951219512195,0.0008249123530624871,0.0015055121169442961,0.010671759155246012,0.0001775883502042266,0.00020131863707282703,0.0007528059129482617,0.0,0.0,8.858703676362026e-05,0.0,0.00012818869375721061,0.0016470394465947459,7.890168849613381e-05,0.0033396253811528967,0.00018634697807317225,0.00011755946549629688
11,0.0018814675446848542,0.0,0.0,0.0,0.0,0.0001775883502042266,0.0,6.84369011771147e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0018814675446848542,0.0,0.0041245617653124355,0.0016026419309407023,0.00033700292069197934,0.0014207068016338128,0.0003523076148774473,0.006227758007117438,0.0,0.00021321961620469082,0.0,0.0,0.00012818869375721061,0.0,0.0007101151964652043,0.0005808044141135473,0.0025467420336666873,0.0004702378619851875
13,0.0,0.001524390243902439,0.0012373685295937306,9.712981399640619e-05,0.00033700292069197934,0.001775883502042266,0.0002516482963410338,0.0007528059129482617,0.0,0.0,0.0,0.0,0.0,0.00024705591698921187,0.00031560675398453525,0.0001452011035283868,0.0016771228026585502,0.00023511893099259376
